"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_403",0.843978764524522,-0.169627945218681,403
"TT_404",0.499956670911759,-0.693233842491464,404
"TT_405",0.516491124815027,-0.660697173890453,405
"TT_406",1.5053496791807,0.409025216183492,406
"TT_407",0.867052438624282,-0.142655821188299,407
"TT_408",0.768749410022911,-0.262990227311576,408
"TT_409",0.599980835854311,-0.510857564518906,409
"TT_410",1.5299237089053,0.425217870700529,410
"TT_411",0.878670971166196,-0.129344773140536,411
"TT_412",0.491742308058753,-0.709800463810389,412
"TT_413",0.693330932511947,-0.366247857684032,413
"TT_414",1.25487105271144,0.227032820461456,414
"TT_415",0.585170284696955,-0.535852389155226,415
"TT_416",0.846595893089781,-0.166531801970415,416
"TT_417",0.461151335800613,-0.774029012631911,417
"TT_418",0.533383901310198,-0.628513848960407,418
"TT_419",0.520497100892324,-0.652970960794068,419
"TT_420",0.641083313947384,-0.444595855550562,420
"TT_421",1.26466725899458,0.234809051211433,421
"TT_422",0.437838963716086,-0.825904098958872,422
"TT_423",4.03309748348756,1.39453468705647,423
"TT_424",1.75788429468825,0.56411098065117,424
"TT_425",0.982157007996801,-0.0180040974642776,425
"TT_426",0.825802809471784,-0.191399263414617,426
"TT_427",0.589639382631107,-0.528244144830426,427
"TT_428",0.631161780865002,-0.460193061244085,428
"TT_429",0.39481318817101,-0.92934256729226,429
"TT_430",0.702414337585766,-0.353231824589139,430
"TT_431",0.480885228843651,-0.732126646820804,431
"TT_432",0.275223894598869,-1.2901703503881,432
"TT_433",0.53022693453773,-0.634450185705096,433
"TT_434",0.314921748573534,-1.15543108824405,434
"TT_435",0.483624742069799,-0.726445999288459,435
"TT_436",0.728243160914198,-0.317120274310346,436
"TT_437",0.631346526855279,-0.459900396252551,437
"TT_438",0.849358004190572,-0.163274504059919,438
"TT_439",0.776892780138598,-0.252452930235892,439
"TT_440",0.65549333487131,-0.422367143837231,440
"TT_441",0.657810239286418,-0.418838779391475,441
"TT_442",0.351762107144503,-1.04480016383726,442
"TT_443",0.256339143159689,-1.36125393327913,443
"TT_444",0.736586449282893,-0.305728671443817,444
"TT_445",0.449275636323993,-0.800118690229864,445
"TT_446",0.414118498083694,-0.88160311885673,446
"TT_447",0.481299971599513,-0.731264561680944,447
"TT_448",0.261815558433634,-1.34011499857225,448
"TT_449",0.245684167738334,-1.4037084389006,449
"TT_450",0.355308242915961,-1.03476957634822,450
"TT_451",0.404455130100671,-0.905214475458004,451
"TT_452",0.522098040139672,-0.649899892375258,452
"TT_453",27.4566077191275,3.31260685735282,453
"TT_454",24.796883711792,3.21071798849288,454
"TT_455",15.933406940031,2.76841797048585,455
"TT_456",13.2641922715793,2.58506809403421,456
"TT_457",8.95122559881433,2.19179046132656,457
"TT_458",7.28318330065465,1.98556803320887,458
"TT_459",6.65473795407389,1.89532907527527,459
"TT_460",6.91810643566916,1.9341420957203,460
"TT_461",6.55774185461212,1.88064631421557,461
"TT_462",5.39163680238414,1.68484901273303,462
"TT_463",5.51838075574101,1.70808447590475,463
"TT_464",4.53396801272255,1.51159749708086,464
"TT_465",5.39911721426549,1.68623546136638,465
"TT_466",32.3075269343836,3.47530023510513,466
"TT_467",21.6717194085784,3.07600815751267,467
"TT_468",14.9063523240882,2.70178745257412,468
"TT_469",9.5494139136594,2.25647978231196,469
"TT_470",7.5901614428472,2.02685286164868,470
